dataset,field_name,field_path,description,data_type_observed,data_type_expected,nullable,allowed_values_or_range,example_redacted,pii_classification,transform_lineage,used_in_rules,present_in_outputs
applications_analysis,age_band,age_band,Derived privacy-preserving age grouping.,str,,True,25-34|35-44|45-54|55-64|65+|<25,<NA>,Non-PII,derived_for_analysis_privacy,,applications_analysis
applications_analysis,age_band_missing_flag,age_band_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,True,Non-PII,validation_or_cleaning_logic -> flag,,applications_analysis
applications_analysis,applicant_pseudo_id,applicant_pseudo_id,Privacy-preserving pseudonymization output.,str,,False,,fc4fb76803a008529455aa4130a4c9f4a5f72...,Quasi-PII,derived_for_analysis_privacy,,applications_analysis
applications_analysis,application_id,_id,External application identifier.,str,string,False,,app_001,Quasi-PII,pipeline_derived_or_passthrough,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
applications_analysis,clean_annual_income,clean_annual_income,Standardized/cleaned field derived during remediation.,float,,False,"[0.0, 171000.0]",102000.0,Non-PII,cleaning_logic -> clean_annual_income,,applications_analysis|applications_curated_full
applications_analysis,clean_approved_amount,clean_approved_amount,Standardized/cleaned field derived during remediation.,float,,True,"[15000.0, 80000.0]",76000.0,Non-PII,cleaning_logic -> clean_approved_amount,R_APP_015,applications_analysis|applications_curated_full
applications_analysis,clean_credit_history_months,clean_credit_history_months,Standardized/cleaned field derived during remediation.,int,,True,>=0,37,Non-PII,cleaning_logic -> clean_credit_history_months,R_APP_012|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_analysis,clean_debt_to_income,clean_debt_to_income,Standardized/cleaned field derived during remediation.,float,,True,"[0,1]",0.42,Non-PII,cleaning_logic -> clean_debt_to_income,R_APP_014,applications_analysis|applications_curated_full
applications_analysis,clean_gender,clean_gender,Standardized/cleaned field derived during remediation.,str,,True,Male|Female,Male,Non-PII,cleaning_logic -> clean_gender,R_APP_002|R_APP_006|R_APP_007,applications_analysis|applications_curated_full
applications_analysis,clean_interest_rate,clean_interest_rate,Standardized/cleaned field derived during remediation.,float,,True,"[2.5, 6.5]",3.4,Non-PII,cleaning_logic -> clean_interest_rate,R_APP_015,applications_analysis|applications_curated_full
applications_analysis,clean_loan_approved,clean_loan_approved,Standardized/cleaned field derived during remediation.,bool,,False,False|True,False,Non-PII,cleaning_logic -> clean_loan_approved,R_APP_015|R_APP_016|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_analysis,clean_rejection_reason,clean_rejection_reason,Standardized/cleaned field derived during remediation.,str,,True,algorithm_risk_score|high_dti_ratio|insufficient_credit_history|low_income,high_dti_ratio,Non-PII,cleaning_logic -> clean_rejection_reason,R_APP_016,applications_analysis|applications_curated_full
applications_analysis,clean_savings_balance,clean_savings_balance,Standardized/cleaned field derived during remediation.,float,,True,>=0,0.0,Non-PII,cleaning_logic -> clean_savings_balance,R_APP_013,applications_analysis|applications_curated_full
applications_analysis,clean_zip_code,clean_zip_code,Standardized/cleaned field derived during remediation.,str,,True,,<NA>,Quasi-PII,cleaning_logic -> clean_zip_code,R_APP_002,applications_analysis|applications_curated_full
applications_analysis,pseudo_id_fallback_used_flag,pseudo_id_fallback_used_flag,Derived validation/remediation indicator.,bool,,False,True|False,True,Quasi-PII,validation_or_cleaning_logic -> flag,,applications_analysis
applications_analysis,pseudo_id_source,pseudo_id_source,Privacy-preserving pseudonymization output.,str,,False,email_fallback|name_dob_zip_fallback|ssn,email_fallback,Non-PII,derived_for_analysis_privacy,,applications_analysis
applications_curated_full,annual_income_coerce_failed_flag,annual_income_coerce_failed_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,R_APP_010,applications_curated_full
applications_curated_full,annual_income_from_salary_flag,annual_income_from_salary_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,R_APP_011,applications_curated_full
applications_curated_full,annual_income_missing_flag,annual_income_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,annual_income_source,annual_income_source,Pipeline output attribute.,str,,False,annual_income|annual_salary,annual_income,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full
applications_curated_full,application_id,_id,External application identifier.,str,string,False,,app_200,Quasi-PII,pipeline_derived_or_passthrough,R_DUP_001|R_DUP_002|R_DUP_003|R_DUP_004|R_DUP_CANONICAL|R_DUP_CONFLICT,applications_analysis|applications_curated_full|duplicate_id_report|spending_items_clean
applications_curated_full,application_row_id,application_row_id,Pipeline output attribute.,int,,False,"[0, 501]",0,Non-PII,pipeline_derived_or_passthrough,R_DUP_CANONICAL,applications_curated_full|spending_items_clean
applications_curated_full,approved_missing_fields_flag,approved_missing_fields_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,approved_with_lt6_credit_history_flag,approved_with_lt6_credit_history_flag,Derived validation/remediation indicator.,bool,,True,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,approved_with_zero_credit_history_flag,approved_with_zero_credit_history_flag,Derived validation/remediation indicator.,bool,,True,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,blank_email_flag,blank_email_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,canonical_reason,canonical_reason,Pipeline output attribute.,str,,False,latest_processing_timestamp|missing_or_unparseable_timestamp_fallback_max_row_id,latest_processing_timestamp,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full|duplicate_id_report
applications_curated_full,clean_annual_income,clean_annual_income,Standardized/cleaned field derived during remediation.,float,,False,"[0.0, 171000.0]",73000.0,Non-PII,cleaning_logic -> clean_annual_income,,applications_analysis|applications_curated_full
applications_curated_full,clean_approved_amount,clean_approved_amount,Standardized/cleaned field derived during remediation.,float,,True,"[15000.0, 80000.0]",59000.0,Non-PII,cleaning_logic -> clean_approved_amount,R_APP_015,applications_analysis|applications_curated_full
applications_curated_full,clean_credit_history_months,clean_credit_history_months,Standardized/cleaned field derived during remediation.,int,,True,>=0,23,Non-PII,cleaning_logic -> clean_credit_history_months,R_APP_012|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_curated_full,clean_date_of_birth,clean_date_of_birth,Standardized/cleaned field derived during remediation.,str,,True,,2001-**-**,PII,cleaning_logic -> clean_date_of_birth,R_APP_002|R_APP_008,applications_curated_full
applications_curated_full,clean_debt_to_income,clean_debt_to_income,Standardized/cleaned field derived during remediation.,float,,True,"[0,1]",0.2,Non-PII,cleaning_logic -> clean_debt_to_income,R_APP_014,applications_analysis|applications_curated_full
applications_curated_full,clean_email,clean_email,Standardized/cleaned field derived during remediation.,str,,True,,j***@hotmail.com,PII,cleaning_logic -> clean_email,R_APP_002|R_APP_004|R_APP_005,applications_curated_full
applications_curated_full,clean_gender,clean_gender,Standardized/cleaned field derived during remediation.,str,,True,Male|Female,Male,Non-PII,cleaning_logic -> clean_gender,R_APP_002|R_APP_006|R_APP_007,applications_analysis|applications_curated_full
applications_curated_full,clean_interest_rate,clean_interest_rate,Standardized/cleaned field derived during remediation.,float,,True,"[2.5, 6.5]",3.7,Non-PII,cleaning_logic -> clean_interest_rate,R_APP_015,applications_analysis|applications_curated_full
applications_curated_full,clean_loan_approved,clean_loan_approved,Standardized/cleaned field derived during remediation.,bool,,False,False|True,False,Non-PII,cleaning_logic -> clean_loan_approved,R_APP_015|R_APP_016|R_APP_017|R_APP_018,applications_analysis|applications_curated_full
applications_curated_full,clean_processing_timestamp,clean_processing_timestamp,Standardized/cleaned field derived during remediation.,str,,True,2024-01-15T00:00:00Z|2025-12-01T00:00:00Z|2026-03-15T00:00:00Z|2027-01-20T00:00:00Z,2024-01-15T00:00:00Z,Non-PII,raw_processing_timestamp -> clean_processing_timestamp,R_APP_001,applications_curated_full
applications_curated_full,clean_rejection_reason,clean_rejection_reason,Standardized/cleaned field derived during remediation.,str,,True,algorithm_risk_score|high_dti_ratio|insufficient_credit_history|low_income,algorithm_risk_score,Non-PII,cleaning_logic -> clean_rejection_reason,R_APP_016,applications_analysis|applications_curated_full
applications_curated_full,clean_savings_balance,clean_savings_balance,Standardized/cleaned field derived during remediation.,float,,True,>=0,31212.0,Non-PII,cleaning_logic -> clean_savings_balance,R_APP_013,applications_analysis|applications_curated_full
applications_curated_full,clean_zip_code,clean_zip_code,Standardized/cleaned field derived during remediation.,str,,True,,10036,Quasi-PII,cleaning_logic -> clean_zip_code,R_APP_002,applications_analysis|applications_curated_full
applications_curated_full,credit_history_negative_flag,credit_history_negative_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,credit_history_non_numeric_flag,credit_history_non_numeric_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,credit_history_nullified_flag,credit_history_nullified_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dob_ambiguous_flag,dob_ambiguous_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,R_APP_009,applications_curated_full
applications_curated_full,dob_missing_flag,dob_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dob_parse_failed_flag,dob_parse_failed_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dti_non_numeric_flag,dti_non_numeric_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dti_nullified_flag,dti_nullified_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dti_out_of_range_flag,dti_out_of_range_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,dup_count,dup_count,Pipeline output attribute.,int,,False,"[1, 2]",1,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full|duplicate_id_report
applications_curated_full,duplicate_classification,duplicate_classification,Pipeline output attribute.,str,,False,conflict|unique|versioned,unique,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full
applications_curated_full,flag_annual_income_string_type,flag_annual_income_string_type,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_approved_credit_history_lt6,flag_approved_credit_history_lt6,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_approved_credit_history_zero,flag_approved_credit_history_zero,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_approved_missing_required_fields,flag_approved_missing_required_fields,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_blank_email,flag_blank_email,Derived validation/remediation indicator.,bool,,False,True|False,False,PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_credit_history_negative,flag_credit_history_negative,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_dob_ambiguous_format,flag_dob_ambiguous_format,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_dob_non_iso_format,flag_dob_non_iso_format,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_dti_out_of_range,flag_dti_out_of_range,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_financial_field_drift_salary,flag_financial_field_drift_salary,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_gender_needs_normalisation,flag_gender_needs_normalisation,Derived validation/remediation indicator.,bool,,False,Male|Female,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_invalid_email,flag_invalid_email,Derived validation/remediation indicator.,bool,,False,True|False,False,PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_invalid_gender,flag_invalid_gender,Derived validation/remediation indicator.,bool,,False,Male|Female,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_missing_processing_timestamp,flag_missing_processing_timestamp,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_missing_required_applicant_field,flag_missing_required_applicant_field,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_missing_ssn_and_ip,flag_missing_ssn_and_ip,Derived validation/remediation indicator.,bool,,False,True|False,False,PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_private_ip_address,flag_private_ip_address,Derived validation/remediation indicator.,bool,,False,True|False,True,PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_rejected_missing_reason,flag_rejected_missing_reason,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,flag_savings_negative,flag_savings_negative,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,gender_invalid_flag,gender_invalid_flag,Derived validation/remediation indicator.,bool,,False,Male|Female,False,Non-PII,validation_or_cleaning_logic -> flag,R_APP_007,applications_curated_full
applications_curated_full,gender_missing_flag,gender_missing_flag,Derived validation/remediation indicator.,bool,,False,Male|Female,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,gender_normalized_flag,gender_normalized_flag,Derived validation/remediation indicator.,bool,,False,Male|Female,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,has_conflict,has_conflict,Pipeline output attribute.,bool,,False,"[False, True]",False,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full
applications_curated_full,has_invalid_email,has_invalid_email,Pipeline output attribute.,bool,,False,"[False, True]",False,PII,pipeline_derived_or_passthrough,,applications_curated_full
applications_curated_full,is_canonical_for_analysis,is_canonical_for_analysis,Pipeline output attribute.,bool,,False,"[False, True]",True,Non-PII,pipeline_derived_or_passthrough,R_DUP_CANONICAL,applications_curated_full
applications_curated_full,is_duplicate_id,is_duplicate_id,Pipeline output attribute.,bool,,False,"[False, True]",False,Non-PII,pipeline_derived_or_passthrough,R_DUP_001,applications_curated_full
applications_curated_full,processing_timestamp_parse_failed_flag,processing_timestamp_parse_failed_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,rank_within_id,rank_within_id,Pipeline output attribute.,int,,False,"[1, 2]",1,Non-PII,pipeline_derived_or_passthrough,,applications_curated_full
applications_curated_full,raw_applicant_date_of_birth,applicant_info.date_of_birth,Source supports multiple date formats.,str,date string,True,,2001-**-**,PII,source_json -> raw passthrough,R_APP_002|R_APP_008|R_APP_009,applications_curated_full
applications_curated_full,raw_applicant_email,applicant_info.email,Direct identifier and contact field.,str,string,False,,j***@hotmail.com,PII,source_json -> raw passthrough,R_APP_002|R_APP_004|R_APP_005,applications_curated_full
applications_curated_full,raw_applicant_full_name,applicant_info.full_name,Direct identifier.,str,string,False,,[REDACTED_NAME],PII,source_json -> raw passthrough,R_APP_002,applications_curated_full
applications_curated_full,raw_applicant_gender,applicant_info.gender,Allowed source variants: Male/Female/M/F.,str,string,True,Male|Female,Male,Quasi-PII,source_json -> raw passthrough,R_APP_002|R_APP_006|R_APP_007,applications_curated_full
applications_curated_full,raw_applicant_ip_address,applicant_info.ip_address,Device/network identifier.,str,IPv4/IPv6 string,True,,[REDACTED_IP],PII,source_json -> raw passthrough,R_APP_002|R_APP_003|R_APP_019,applications_curated_full
applications_curated_full,raw_applicant_ssn,applicant_info.ssn,National identifier.,str,string,True,,***-**-4340,PII,source_json -> raw passthrough,R_APP_002|R_APP_003|R_DUP_003|R_DUP_004,applications_curated_full
applications_curated_full,raw_applicant_zip_code,applicant_info.zip_code,Location quasi-identifier.,str,string,True,,10036,Quasi-PII,source_json -> raw passthrough,R_APP_002,applications_curated_full
applications_curated_full,raw_decision_approved_amount,decision.approved_amount,Required when loan_approved=True.,float,numeric,True,"[15000.0, 80000.0]",59000.0,Non-PII,source_json -> raw passthrough,R_APP_015,applications_curated_full
applications_curated_full,raw_decision_interest_rate,decision.interest_rate,Required when loan_approved=True.,float,numeric,True,"[2.5, 6.5]",3.7,Non-PII,source_json -> raw passthrough,R_APP_015,applications_curated_full
applications_curated_full,raw_decision_loan_approved,decision.loan_approved,Decision flag.,bool,boolean,False,"[False, True]",False,Non-PII,source_json -> raw passthrough,R_APP_015|R_APP_016|R_APP_017|R_APP_018,applications_curated_full
applications_curated_full,raw_decision_rejection_reason,decision.rejection_reason,Required when loan_approved=False.,str,string,True,algorithm_risk_score|high_dti_ratio|insufficient_credit_history|low_income,algorithm_risk_score,Non-PII,source_json -> raw passthrough,R_APP_016,applications_curated_full
applications_curated_full,raw_financial_annual_income,financials.annual_income,May drift into annual_salary.,int|str,numeric,True,,73000,Non-PII,source_json -> raw passthrough,R_APP_010|R_APP_011,applications_curated_full
applications_curated_full,raw_financial_annual_salary,financials.annual_salary,Field drift variant for annual_income.,float,numeric,True,"[45000.0, 94000.0]",45000.0,Non-PII,source_json -> raw passthrough,R_APP_011,applications_curated_full
applications_curated_full,raw_financial_credit_history_months,financials.credit_history_months,Must be >= 0.,int,integer,False,>=0,23,Non-PII,source_json -> raw passthrough,R_APP_012|R_APP_017|R_APP_018,applications_curated_full
applications_curated_full,raw_financial_debt_to_income,financials.debt_to_income,"Expected range [0, 1].",float,numeric,False,"[0,1]",0.2,Non-PII,source_json -> raw passthrough,R_APP_014,applications_curated_full
applications_curated_full,raw_financial_savings_balance,financials.savings_balance,Must be >= 0.,int,numeric,False,>=0,31212,Non-PII,source_json -> raw passthrough,R_APP_013,applications_curated_full
applications_curated_full,raw_loan_purpose,loan_purpose,Optional top-level context field.,str,string,True,auto|business|debt_consolidation|education|home_improvement|medical|moving|personal|vacation|wedding,vacation,Non-PII,source_json -> raw passthrough,,applications_curated_full
applications_curated_full,raw_notes,notes,Optional operational notes.,str,string,True,DUPLICATE_ENTRY_ERROR|RESUBMISSION,RESUBMISSION,Non-PII,source_json -> raw passthrough,,applications_curated_full
applications_curated_full,raw_processing_timestamp,processing_timestamp,Processing event time used for canonical selection.,str,datetime-like string,True,2024-01-15T00:00:00Z|2025-12-01T00:00:00Z|2026-03-15T00:00:00Z|2027-01-20T00:00:00Z,2024-01-15T00:00:00Z,Non-PII,source_json -> raw passthrough,R_APP_001,applications_curated_full
applications_curated_full,rejected_missing_reason_flag,rejected_missing_reason_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,savings_negative_flag,savings_negative_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,savings_non_numeric_flag,savings_non_numeric_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,savings_nullified_flag,savings_nullified_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Non-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
applications_curated_full,zip_missing_flag,zip_missing_flag,Derived validation/remediation indicator.,bool,,False,True|False,False,Quasi-PII,validation_or_cleaning_logic -> flag,,applications_curated_full
before_after_comparison,delta_count,delta_count,Pipeline output attribute.,int,,False,"[-157, 0]",0,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,delta_percent,delta_percent,Pipeline output attribute.,float,,False,"[-31.27, 0.0]",0.0,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,metric,metric,Pipeline output attribute.,str,,False,,Missing required applicant fields,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,post_count,post_count,Pipeline output attribute.,int,,False,"[0, 500]",8,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,post_percent,post_percent,Pipeline output attribute.,float,,False,"[0.0, 99.6]",1.59,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,pre_count,pre_count,Pipeline output attribute.,int,,False,"[0, 502]",8,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,pre_percent,pre_percent,Pipeline output attribute.,float,,False,"[0.0, 100.0]",1.59,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison
before_after_comparison,rule_id,rule_id,Pipeline output attribute.,str,,False,,R_APP_002,Non-PII,pipeline_derived_or_passthrough,,before_after_comparison|data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_post,count,count,Pipeline output attribute.,int,,False,"[0, 497]",440,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre
data_quality_report_post,count_unit,count_unit,Pipeline output attribute.,str,,False,distinct_ids|rows,rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_post,dataset_scope,dataset_scope,Pipeline output attribute.,str,,False,curated|quality,curated,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_post,denominator,denominator,Pipeline output attribute.,str,,False,application_rows|spending_rows,application_rows,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_post,description,description,Pipeline output attribute.,str,,False,,Missing or blank processing timestamp.,Non-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|rule_catalog|schema_validation_report_post|schema_validation_report_pre
data_quality_report_post,example_application_ids,example_application_ids,Pipeline output attribute.,str,,False,,app_001|app_002|app_003|app_004|app_005,Quasi-PII,pipeline_derived_or_passthrough,,data_quality_report_post|data_quality_report_pre|schema_validation_report_post|schema_validation_report_pre
